TestId,Date,Gender,team,Peak Braking Velocity,Peak Propulsive Power,Avg. Braking Power,Peak Braking Force,Avg. Braking Velocity,gender_binary,sport_name,field_court_binary
990prhKsiMjkHuuUsykO,12/4/2023,Women,Women's Basketball,-1.3527,2848.706,-1105.081,1864.0,-0.7646,1.0,Basketball,0.0
ys5OUs5gwspXurFtbsXf,1/29/2024,Women,Women's Basketball,-1.4178,2834.234,-1107.57,1644.0,-0.808,1.0,Basketball,0.0
QovwUF9AxaWE28uQKpq8,1/11/2024,Women,Women's Basketball,-1.3767,2962.22,-1174.379,1927.0,-0.8124,1.0,Basketball,0.0
1g1qyigLmaAHAijMaltS,1/25/2024,Women,Women's Basketball,-1.273,2869.442,-1005.884,1772.0,-0.7539,1.0,Basketball,0.0
3r6zngCNrfBTUX3gdcBU,1/4/2024,Women,Women's Basketball,-1.4633,2817.83,-1181.425,1799.0,-0.8347,1.0,Basketball,0.0
1AxrvuUrRcli25K20lTA,1/11/2024,Women,Women's Basketball,-1.3257,2925.511,-1041.797,1730.0,-0.783,1.0,Basketball,0.0
RXTAC16lsclflArbir5V,12/27/2023,Women,Women's Basketball,-1.417,2959.571,-1189.707,1813.0,-0.8033,1.0,Basketball,0.0
CDIuoXA1FQWGObDGBLLF,12/11/2023,Women,Women's Basketball,-1.1905,2770.086,-910.5515,1727.0,-0.7021,1.0,Basketball,0.0
4Lx1awvfOW7ItDsMnNYw,2/5/2024,Women,Women's Basketball,-1.3906,2953.887,-1083.56,1712.0,-0.8176,1.0,Basketball,0.0
qnsOGHIX3m7WitiROBVm,10/23/2023,Women,Women's Basketball,-1.0326,3118.923,-840.3793,1881.0,-0.6822,1.0,Basketball,0.0
PyMJgVkrrrjC8Wk6Os75,9/11/2023,Women,Women's Basketball,-1.1033,3328.164,-1001.567,2193.0,-0.7335,1.0,Basketball,0.0
aqpIQSxs03zpx14VCTJO,10/9/2023,Women,Women's Basketball,-1.1454,3464.793,-1185.165,2494.0,-0.7326,1.0,Basketball,0.0
jjK8Er4nRWhC5uM7GSRt,2/5/2024,Women,Women's Basketball,-1.0708,3009.088,-825.0672,1681.0,-0.7163,1.0,Basketball,0.0
ZbhVi2ODss8bztWCJSox,1/25/2024,Women,Women's Basketball,-1.0218,3234.331,-845.3101,1909.0,-0.679,1.0,Basketball,0.0
xrz9B3x2MwsUUgM5cX7q,10/9/2023,Women,Women's Basketball,-1.2345,3499.54,-1233.92,2328.0,-0.7515,1.0,Basketball,0.0
v8OoPruWDOTyPAIqOyCh,1/8/2024,Women,Women's Basketball,-1.0329,3273.883,-821.1429,1854.0,-0.6785,1.0,Basketball,0.0
wgJZYcRCaWoyr37Kx2gp,1/22/2024,Women,Women's Basketball,-1.1437,3198.54,-884.2773,1733.0,-0.7477,1.0,Basketball,0.0
Othr67xVIgBdS56Pa8hC,2/5/2024,Women,Women's Basketball,-1.0288,3025.042,-773.7975,1718.0,-0.683,1.0,Basketball,0.0
Whgy6zXTLJx5ZOYlt1gZ,2/1/2024,Women,Women's Basketball,-1.0723,3183.768,-816.447,1749.0,-0.7076,1.0,Basketball,0.0
BxdN6PQefJeqTe8RwoTW,1/22/2024,Women,Women's Basketball,-1.1915,3219.328,-970.7317,1907.0,-0.7667,1.0,Basketball,0.0
7VWnY6M4q7bdOoY2K5vW,2/12/2024,Women,Women's Basketball,-1.2143,3367.849,-996.1288,1918.0,-0.7998,1.0,Basketball,0.0
KvMQXgWxk9leM282M1xW,1/11/2024,Women,Women's Basketball,-1.0452,3154.667,-836.0782,1848.0,-0.6873,1.0,Basketball,0.0
jm9RokfIBMpVLdiz2GZr,9/11/2023,Women,Women's Basketball,-1.162,3128.945,-987.2882,1986.0,-0.7809,1.0,Basketball,0.0
i3rNvZrWx5EzPZuTPgaL,1/8/2024,Women,Women's Basketball,-1.1317,3548.252,-1015.016,2181.0,-0.7522,1.0,Basketball,0.0
