TestId,Date,Gender,team,Peak Braking Velocity,Peak Propulsive Power,Avg. Braking Power,Peak Braking Force,Avg. Braking Velocity,gender_binary,sport_name,field_court_binary
oKz6KccoRsCE9ynSz3ed,1/30/2024,Men,,-1.5776,4323.734,-1294.665,1880.0,-1.0211,0.0,,
n0T1WVFRSPYuUwFTPE88,1/8/2024,Men,,-1.5609,4379.047,-1305.162,1910.0,-0.9976,0.0,,
OLPSL89sKBmd1aOO2mSX,11/14/2023,Men,,-1.577,4328.372,-1336.592,1985.0,-1.026,0.0,,
E276nZo7yh7UZBJRXkUY,11/6/2023,Men,,-1.4448,4430.737,-1171.971,1912.0,-0.9387,0.0,,
IX4DwdcEmCnXgTdpsyJR,10/30/2023,Men,,-1.4446,4667.316,-1216.439,1957.0,-0.9216,0.0,,
SX2s92bE0YvZKPHM7RZO,10/23/2023,Men,,-1.4927,4492.997,-1276.133,1993.0,-0.9534,0.0,,
rzmNXKq45hgjB7HWLki3,10/23/2023,Men,,-1.4316,4585.722,-1228.887,2002.0,-0.9409,0.0,,
d1rg1Y98gBk3FZ8mxKZS,10/2/2023,Men,,-1.5156,4527.229,-1317.373,2038.0,-0.9724,0.0,,
VEUzIXij0UfnuSC7RN8m,10/2/2023,Men,,-1.464,4367.612,-1253.92,1979.0,-0.9514,0.0,,
OoZV3niAB5whK992BG5M,9/14/2023,Men,,-1.3504,4552.73,-1143.105,2031.0,-0.8627,0.0,,
X8Vl5w9HBGWERmOCmwpF,1/30/2024,Men,,-1.4056,4642.897,-1115.93,1817.0,-0.8956,0.0,,
QD2YuL2PjM46d9cMjV7I,1/22/2024,Men,,-1.585,4630.315,-1384.112,2052.0,-1.0324,0.0,,
hdDw5LDUDvRZYgELwRIQ,2/5/2024,Men,,-1.5482,4779.592,-1320.593,1996.0,-1.0055,0.0,,
YB8fVibkyRwuItjkYFzk,11/6/2023,Men,,-1.5451,4594.773,-1363.094,1998.0,-0.9741,0.0,,
m6dTbwY5oIf2JRquReLd,9/14/2023,Men,,-1.508,4533.337,-1278.687,1984.0,-0.9924,0.0,,
HboOgUsGISQBJlmoYmyE,10/16/2023,Men,,-1.6017,4551.735,-1450.626,2098.0,-1.0082,0.0,,
pkLCM3b8DV8B3wCvaP0q,11/14/2023,Men,,-1.5742,4543.029,-1345.806,1933.0,-1.0012,0.0,,
gUH76OAXCM1n30nIdL96,10/30/2023,Men,,-1.5168,4430.066,-1286.162,1974.0,-0.9722,0.0,,
Ct5bbyKcM0cHocbtrhRs,2/5/2024,Men,,-1.6512,4534.95,-1407.145,1999.0,-1.0642,0.0,,
gbxZiNQ2uaeHj63oluWH,2/12/2024,Men,,-1.628,4769.255,-1449.209,2059.0,-1.03,0.0,,
GF7CuWgvoCTu00XwTGPs,10/2/2023,Men,Men's Swimming & Diving,-1.3501,4651.344,-1193.456,1948.0,-0.9019,0.0,Swimming & Diving,0.0
GF7CuWgvoCTu00XwTGPs,10/2/2023,Men,Men's Swimming & Diving,-1.3501,4651.344,-1193.456,1948.0,-0.9019,0.0,Swimming & Diving,0.0
06FrCQphimMZkFrpi9DL,10/30/2023,Men,Men's Swimming & Diving,-1.3456,4973.031,-1261.708,2045.0,-0.8528,0.0,Swimming & Diving,0.0
06FrCQphimMZkFrpi9DL,10/30/2023,Men,Men's Swimming & Diving,-1.3456,4973.031,-1261.708,2045.0,-0.8528,0.0,Swimming & Diving,0.0
Uj5wsj86tJca3OLDrJSK,10/23/2023,Men,Men's Swimming & Diving,-1.499,4872.087,-1392.432,2019.0,-1.0108,0.0,Swimming & Diving,0.0
Uj5wsj86tJca3OLDrJSK,10/23/2023,Men,Men's Swimming & Diving,-1.499,4872.087,-1392.432,2019.0,-1.0108,0.0,Swimming & Diving,0.0
yQUwGxLYgdHdsk2Xsk0g,3/4/2024,Men,Men's Swimming & Diving,-1.3628,4431.031,-1194.977,1933.0,-0.8778,0.0,Swimming & Diving,0.0
yQUwGxLYgdHdsk2Xsk0g,3/4/2024,Men,Men's Swimming & Diving,-1.3628,4431.031,-1194.977,1933.0,-0.8778,0.0,Swimming & Diving,0.0
vew3vUlQ8AlL5unXZRLf,2/26/2024,Men,Men's Swimming & Diving,-1.4214,4558.754,-1317.264,2033.0,-0.9099,0.0,Swimming & Diving,0.0
vew3vUlQ8AlL5unXZRLf,2/26/2024,Men,Men's Swimming & Diving,-1.4214,4558.754,-1317.264,2033.0,-0.9099,0.0,Swimming & Diving,0.0
KJqvqYChzE69oFY0KyKv,2/26/2024,Men,Men's Swimming & Diving,-1.3478,4627.241,-1173.88,1914.0,-0.8623,0.0,Swimming & Diving,0.0
KJqvqYChzE69oFY0KyKv,2/26/2024,Men,Men's Swimming & Diving,-1.3478,4627.241,-1173.88,1914.0,-0.8623,0.0,Swimming & Diving,0.0
iZVv2wZj1UPD60qxMzhV,2/20/2024,Men,Men's Swimming & Diving,-1.2289,5019.404,-1072.255,1917.0,-0.7955,0.0,Swimming & Diving,0.0
iZVv2wZj1UPD60qxMzhV,2/20/2024,Men,Men's Swimming & Diving,-1.2289,5019.404,-1072.255,1917.0,-0.7955,0.0,Swimming & Diving,0.0
gMcF3A6kmXPbgZoJeKCG,1/30/2024,Men,Men's Swimming & Diving,-1.3103,4687.779,-1188.303,2023.0,-0.8477,0.0,Swimming & Diving,0.0
gMcF3A6kmXPbgZoJeKCG,1/30/2024,Men,Men's Swimming & Diving,-1.3103,4687.779,-1188.303,2023.0,-0.8477,0.0,Swimming & Diving,0.0
nqq50Gc6dC5OYHsKPeGW,1/30/2024,Men,Men's Swimming & Diving,-1.228,4760.382,-1060.767,1877.0,-0.7782,0.0,Swimming & Diving,0.0
nqq50Gc6dC5OYHsKPeGW,1/30/2024,Men,Men's Swimming & Diving,-1.228,4760.382,-1060.767,1877.0,-0.7782,0.0,Swimming & Diving,0.0
lhWzHL6vZlGDmQSW9b6X,2/20/2024,Men,Men's Swimming & Diving,-1.4634,4867.852,-1348.455,2022.0,-0.9198,0.0,Swimming & Diving,0.0
lhWzHL6vZlGDmQSW9b6X,2/20/2024,Men,Men's Swimming & Diving,-1.4634,4867.852,-1348.455,2022.0,-0.9198,0.0,Swimming & Diving,0.0
U2syE51J9PAhPa7rNACD,10/16/2023,Men,Men's Swimming & Diving,-1.409,4888.528,-1335.524,2086.0,-0.892,0.0,Swimming & Diving,0.0
U2syE51J9PAhPa7rNACD,10/16/2023,Men,Men's Swimming & Diving,-1.409,4888.528,-1335.524,2086.0,-0.892,0.0,Swimming & Diving,0.0
mZoEHxZVUIbJBcHIlJN5,1/15/2024,Men,Men's Swimming & Diving,-1.2783,4614.413,-1148.477,1968.0,-0.8105,0.0,Swimming & Diving,0.0
mZoEHxZVUIbJBcHIlJN5,1/15/2024,Men,Men's Swimming & Diving,-1.2783,4614.413,-1148.477,1968.0,-0.8105,0.0,Swimming & Diving,0.0
AtOgvTAwYTbI0orl4hnl,1/15/2024,Men,Men's Swimming & Diving,-1.177,4653.863,-997.3953,1858.0,-0.7652,0.0,Swimming & Diving,0.0
AtOgvTAwYTbI0orl4hnl,1/15/2024,Men,Men's Swimming & Diving,-1.177,4653.863,-997.3953,1858.0,-0.7652,0.0,Swimming & Diving,0.0
6qlqr78VbG8663nSK48C,10/23/2023,Men,Men's Swimming & Diving,-1.5114,5035.812,-1475.597,2111.0,-0.9392,0.0,Swimming & Diving,0.0
6qlqr78VbG8663nSK48C,10/23/2023,Men,Men's Swimming & Diving,-1.5114,5035.812,-1475.597,2111.0,-0.9392,0.0,Swimming & Diving,0.0
bNFu02RMm9wHdjhjezlc,1/8/2024,Men,Men's Swimming & Diving,-1.2689,4497.964,-1050.199,1800.0,-0.8142,0.0,Swimming & Diving,0.0
