TestId,Date,Time,Name,Segment,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
UJtd8oOimv0jIFuylpdN,2/6/2024,16:31:12,MSQ9,, ,Countermovement Jump,,,760.275,0.3208,194.4412,-0.2781,8317.5676,-7152.9298,1989,261.6159,1313.3041,172.7407,1989,261.6159,1763.2577,231.9237,2241,294.7618,0.297,46.4789,0.148,23.1612,0.194,30.3599,0.522,0.639,81.2303,195.5572,536.8015,276.7875,2.4074,-0.7298,-1.0531,1.632,2.5089,2.6384,-845.2162,-10.906,-1077.2111,-13.8995,2502.8416,32.2947,55.1404,4273.3798,-0.0503,994,995,-4.4045,627.7297,685.5743,-1.0263,1109,1132,-3.3104,852.4433,910.8144,3.4931,4304.0541,4013.5135,-8.4821,-6.3858,N/A,-8921.5101,4838,882.6838,636.3487,-0.4547,2408,2430,-4.6671,420.7439,461.9399,N/A,0.8169,0.5021,193.751,2.5,1.0481,343.0505,4.4265,2.5233
95A7eNR1iZtFdKCZNLmV,2/13/2024,16:26:48,MSQ12,, ,Countermovement Jump,,,691.391,0.3648,188.5397,-0.2039,4727.8912,-6787.9243,1384,200.1762,1103.1905,159.561,1384,200.1762,1611.639,233.101,2143,309.9549,0.346,49.5702,0.147,21.0602,0.205,29.3696,0.548,0.698,60.184,189.3268,492.8805,249.5109,3.1458,-0.5467,-0.8557,1.5804,2.6751,2.7903,-553.5344,-7.854,-752.5773,-10.6782,2327.2285,33.0206,61.6855,4347.482,-19.6532,556,828,-17.1099,457.2177,645.9728,-6.2996,1004,1139,-8.1353,740.2634,871.3756,-41.295,1387.7551,3340.1361,-29.145,-15.0962,500,-16804.587,5788,1073.432,837.1529,13.2688,3278,2510,31.1096,703.686,369.746,47.4681,0.7851,0.5226,161.8185,2.296,0.8539,331.062,4.6974,2.6863
NFb0axM1RCNqkowXMaSk,2/13/2024,16:26:41,MSQ12,, ,Countermovement Jump,,,690.648,0.3723,190.2778,-0.2059,5775.5102,-7512.3259,1547,223.9925,1116.9388,161.7233,1539,222.8342,1668.2256,241.545,2159,312.605,0.306,47.2222,0.147,22.6852,0.195,30.0926,0.544,0.648,62.2357,191.3791,489.8165,253.6149,3.0751,-0.578,-0.8903,1.6149,2.7027,2.8069,-589.0187,-8.3665,-785.2454,-11.1537,2438.5736,34.6376,63.3088,4457.0938,-10.0715,692,847,-10.6767,498.8435,618.0952,-3.1959,1045,1114,-4.5643,796.041,872.1846,-16.1366,2421.7687,3353.7415,-19.2703,-8.7343,N/A,-22882.4563,4558,830.6547,659.9599,6.0992,2418,2140,-0.4494,413.4607,417.194,N/A,0.8395,0.5745,163.761,2.3261,0.884,326.0555,4.6313,2.7184
qD72G6Z0YO9A2hWNoQTL,2/13/2024,16:26:35,MSQ12,, ,Countermovement Jump,,,691.537,0.3205,176.7665,-0.1758,5850,-8610.8913,1514,218.9326,1115.6929,161.3352,1514,218.9326,1658.5683,239.838,2324,336.063,0.29,47.3083,0.14,22.8385,0.183,29.8532,0.513,0.613,58.9678,177.7112,460.0455,236.679,3.0137,-0.5641,-0.8404,1.5861,2.5076,2.6643,-567.9143,-8.0563,-738.3093,-10.4735,2312.513,32.8048,62.614,4413.8544,-21.5324,594,920,-9.6077,504.25,611.4429,-5.4217,1099,1225,-10.0706,745.7705,912.7978,-53.602,1357.1429,4492.8571,-17.3373,-18.3448,500,-28213.0987,4860,1048.52,702.7824,6.2551,2582,2278,8.3874,568.232,480.288,15.487,0.8369,0.5228,155.783,2.2099,0.8365,304.2625,4.3162,2.521
MS9Si6Ls499daSmBfcwM,2/13/2024,16:26:22,MSQ8,, ,Countermovement Jump,,,708.995,0.3312,184.2256,-0.2316,3323.6715,-6032.347,1397,197.0395,980.1546,138.2456,1397,197.0395,1510.9478,213.1112,1871,263.8947,0.388,47.0303,0.207,25.0909,0.23,27.8788,0.507,0.825,55.785,185.1347,550.7505,240.9197,3.3187,-0.5433,-0.7749,1.5305,2.549,2.6705,-490.0049,-6.7799,-608.5248,-8.4198,2109.8098,29.1924,52.1266,3767.3272,15.1038,804,593,7.8042,528.3237,451.8309,7.2154,1003,868,9.0039,823.4957,687.4522,28.4884,2135.2657,1188.4058,14.418,16.524,N/A,-65340.1158,4684,869.9882,660.6535,-3.4586,2261,2423,9.3594,475.7071,394.2812,N/A,0.6145,0.4014,202.547,2.8025,0.7719,348.2035,4.8179,2.5616
UUA185cyxa9nYa7qwOR4,2/13/2024,16:26:15,MSQ8,, ,Countermovement Jump,,,712.206,0.3139,180.1673,-0.1797,7372.2628,-9624.8622,1730,242.9072,1163.2993,163.3375,1723,241.9244,1674.883,235.1683,2181,306.2316,0.266,45.0085,0.137,23.181,0.188,31.8105,0.496,0.591,61.2918,181.8298,474.5885,243.1216,2.9666,-0.5868,-0.8577,1.5643,2.4816,2.5915,-612.8654,-8.4417,-758.4865,-10.4475,2307.7718,31.7875,53.3958,3876.534,13.1747,975,748,15.8033,673.5693,489.7299,9.7662,1197,984,6.1611,889.0372,785.8457,12.8713,4160.5839,3211.6788,27.3067,11.65,N/A,-41505.8023,3798,859.7787,533.2727,-9.0574,1727,2071,6.8969,459.5384,400.2403,N/A,0.8393,0.5311,158.864,2.1882,0.8442,315.7245,4.3488,2.5045
Oq22ZSBSG4KMint5f5TV,2/13/2024,16:26:09,MSQ8,, ,Countermovement Jump,,,712.461,0.3285,184.3745,-0.2083,5450.9804,-7469.6744,1556,218.3979,1052.1111,147.6728,1547,217.1347,1633.4279,229.2656,2076,291.3844,0.428,54.7315,0.153,19.5652,0.201,25.7033,0.509,0.782,51.5485,185.8713,489.631,237.4198,3.6058,-0.5059,-0.7209,1.5602,2.5387,2.6455,-483.7561,-6.6609,-596.742,-8.2166,2280.3145,31.398,53.4328,3880.611,14.415,885,662,17.7552,619.4575,432.6536,4.817,1088,988,6.07,866.2886,767.1393,14.3885,3117.6471,2333.3333,30.1688,11.4637,N/A,-36334.7296,5656,876.0144,793.868,-1.1315,2796,2860,10.0105,481.8539,394.1605,N/A,0.6509,0.4201,160.555,2.2107,0.7098,329.076,4.5311,2.5593
9pU6XsS06V9rnK0qSkA4,2/6/2024,16:32:00,MSQ8,, ,Countermovement Jump,,,719.275,0.2914,175.3154,-0.1891,6272.7273,-8960.0175,1694,235.5149,1096.3961,152.4307,1685,234.2637,1622.3385,225.5519,2082,289.4581,0.346,49.7842,0.154,22.1583,0.195,28.0576,0.476,0.695,57.5922,176.9209,485.54,234.513,3.072,-0.5767,-0.7979,1.5209,2.3911,2.5093,-566.3555,-7.7244,-693.7218,-9.4615,2173.1412,29.6389,49.2552,3611.4236,17.6261,991,694,8.7068,595.9286,500.4675,11.4313,1160,922,9.9597,891.959,730.3795,46.1698,4584.4156,1688.3117,15.8354,18.1399,N/A,-16537.3809,3308,784.3364,459.9075,16.8077,1932,1376,-36.7116,248.1968,536.1395,N/A,0.6849,0.4193,168.3605,2.2962,0.7855,317.1795,4.3259,2.413
wU56GkIfATMqvXdMgH1H,2/6/2024,16:31:51,MSQ8,, ,Countermovement Jump,,,720.66,0.2919,175.798,-0.1766,6851.3514,-9816.9438,1734,240.6128,1089,151.1115,1734,240.6128,1703.3743,236.3631,2225,308.7448,0.343,51.194,0.148,22.0896,0.179,26.7164,0.483,0.67,54.0053,176.7559,466.417,230.7612,3.2729,-0.5151,-0.7388,1.5422,2.3931,2.5024,-506.6508,-6.8968,-616.1783,-8.3877,2291.1935,31.1889,51.2648,3765.9999,10.2653,956,778,3.7054,564.6757,524.3243,8.6742,1209,1016,6.8933,910.3966,792.9777,22.8797,4209.4595,2641.8919,7.0323,12.907,N/A,-32819.7491,4722,855.4659,655.2327,-2.4142,2304,2418,-24.1762,324.3233,531.1426,N/A,0.7209,0.4356,160.663,2.187,0.7351,305.754,4.1621,2.4061
HWkmutb3bS5Kz3agAbT9,2/6/2024,16:31:44,MSQ8,, ,Countermovement Jump,,,719.392,0.2996,177.8028,-0.1818,7688.8889,-9787.5841,1779,247.2922,1114.4593,154.9168,1761,244.79,1721.9663,239.3641,2279,316.7953,0.407,56.5278,0.135,18.75,0.178,24.7222,0.49,0.72,52.8111,179.3207,457.3015,232.1318,3.3955,-0.5056,-0.7314,1.5666,2.4246,2.5369,-509.0522,-6.9417,-625.3525,-8.5276,2342.7414,31.9468,52.3645,3840.0236,10.7325,975,786,5.978,590.5407,523.9185,6.6257,1215,1064,5.5776,909.0056,812.9607,19.4605,4592.5926,3096.2963,11.1987,10.5825,N/A,-31497.8152,5177,826.2931,719.6355,8.5957,2811,2366,9.6099,452.8494,373.4438,N/A,0.6806,0.4162,149.929,2.0445,0.7202,307.3725,4.1915,2.4453
pkQZLpY5K4RuhrJGrdqs,2/13/2024,16:30:27,MSQ3,, ,Countermovement Jump,,,754.016,0.365,205.6778,-0.2054,11921.0526,-10317.9742,2119,281.0285,1559.7105,206.8538,2109,279.7023,1863.8333,247.1875,2325,308.3489,0.238,44.2379,0.114,21.1896,0.186,34.5725,0.529,0.538,91.1602,207.462,524.827,298.6222,2.2758,-0.7617,-1.2,1.6788,2.6759,2.7632,-1059.7384,-13.7876,-1444.4737,-18.7931,2750.6652,35.7871,58.1064,4466.1734,-3.8407,1014,1095,4.0758,811.6404,748.0702,-6.7527,1084,1241,-6.149,874.6129,989.2204,-15.0846,5061.4035,6859.6491,7.9668,-11.5684,1060,-1235725.824,6277,939.9009,832.4757,4.0943,3267,3010,2.1764,480.1783,459.7226,4.2542,0.9833,0.6784,177.118,2.3044,1.186,347.709,4.5238,2.6992
